method,#,value
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,False
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
$M^2AD$,Select 1,True
